epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,909.832,0.71318,1.514,0.86346,1.08795,0,0.70707,0.61574,0.68336,0.49233,0.69978,0.60833,0.65434,0.42796,1.00529,2.13537,1.13497,1.29893,0,0.000643795,0.000643795,0.000643795
64,926.21,0.69239,1.46173,0.85324,1.0661,0,0.67372,0.65885,0.67736,0.50685,0.67053,0.65213,0.67181,0.45356,0.95296,1.99561,1.09891,1.24889,0,0.000627292,0.000627292,0.000627292
65,998.034,0.67561,1.3879,0.81148,1.05575,0,0.70041,0.64571,0.70139,0.52457,0.70849,0.64987,0.70846,0.48305,0.96194,1.9244,1.07035,1.29897,0,0.000610789,0.000610789,0.000610789
66,1079.35,0.67047,1.42149,0.796,1.04571,0,0.6508,0.69323,0.68364,0.5092,0.64009,0.68309,0.67581,0.46959,0.95867,1.94819,1.13355,1.25465,0,0.000594286,0.000594286,0.000594286
1,161.474,1.31842,3.11441,2.47694,1.53728,0,0.08691,0.39375,0.11123,0.04871,0.0759,0.30729,0.0771,0.02893,1.83686,5.09427,4.13555,1.98834,0,0.00053979,0.00053979,0.00053979
67,1170.18,0.694,1.49771,0.81003,1.06383,0,0.63454,0.64948,0.66007,0.48266,0.68375,0.625,0.66133,0.44708,1.03355,2.01655,1.15209,1.32542,0,0.000577782,0.000577782,0.000577782
68,1297.2,0.68955,1.48033,0.79917,1.06171,0,0.68197,0.61406,0.66375,0.48611,0.69134,0.61927,0.65477,0.45527,0.98051,1.89863,1.14696,1.29086,0,0.000561279,0.000561279,0.000561279
69,1469.61,0.65022,1.35984,0.76985,1.03349,0,0.6796,0.66823,0.69283,0.51457,0.69368,0.64427,0.68078,0.49269,0.94008,1.87335,1.07726,1.24935,0,0.000544776,0.000544776,0.000544776
70,1590.79,0.68293,1.42817,0.82406,1.04526,0,0.62146,0.65625,0.66734,0.50491,0.63891,0.6623,0.67263,0.48094,0.91895,1.87092,1.09133,1.21218,0,0.000528272,0.000528272,0.000528272
71,1607.8,0.64901,1.38309,0.77185,1.03288,0,0.67361,0.65156,0.68904,0.51848,0.67688,0.65417,0.68952,0.4849,0.9144,1.89145,1.09429,1.21179,0,0.000511769,0.000511769,0.000511769
72,1622.18,0.65507,1.41995,0.7716,1.04132,0,0.68423,0.66198,0.7111,0.54522,0.68694,0.66577,0.70626,0.50828,0.90461,1.81292,1.02242,1.22026,0,0.000495266,0.000495266,0.000495266
73,1638.02,0.63762,1.2951,0.76198,1.02839,0,0.6718,0.61198,0.65975,0.50077,0.73372,0.58698,0.65145,0.45912,0.93708,1.99477,1.16932,1.24766,0,0.000478762,0.000478762,0.000478762
74,1653.46,0.6491,1.36758,0.75745,1.03334,0,0.64642,0.65938,0.6636,0.49385,0.67441,0.66098,0.65368,0.45682,0.96939,1.97829,1.16996,1.29244,0,0.000462259,0.000462259,0.000462259
75,1669.04,0.65699,1.30405,0.72626,1.03341,0,0.67733,0.64583,0.67462,0.5009,0.6758,0.63802,0.67013,0.47248,0.97808,1.9102,1.146,1.29698,0,0.000445756,0.000445756,0.000445756
76,1685.1,0.63749,1.34613,0.71629,1.03394,0,0.67107,0.66356,0.6747,0.49418,0.70156,0.62083,0.66488,0.4691,0.95929,1.85536,1.13641,1.27269,0,0.000429253,0.000429253,0.000429253
77,1700.2,0.66,1.31263,0.751,1.0369,0,0.68179,0.66788,0.70106,0.52692,0.74338,0.6341,0.70289,0.49596,0.92616,1.8111,1.06816,1.23837,0,0.000412749,0.000412749,0.000412749
78,1714.85,0.62579,1.33266,0.70967,1.02326,0,0.71745,0.65448,0.70958,0.52861,0.71908,0.65746,0.69894,0.49487,0.95479,1.83542,1.05723,1.27264,0,0.000396246,0.000396246,0.000396246
79,1730.71,0.62701,1.30075,0.69578,1.01309,0,0.73427,0.63915,0.7149,0.54228,0.73621,0.64234,0.70592,0.50679,0.91804,1.87294,1.04784,1.24542,0,0.000379743,0.000379743,0.000379743
80,1747.18,0.63551,1.3281,0.69776,1.02128,0,0.71722,0.62708,0.70213,0.53002,0.71003,0.62926,0.69183,0.49932,0.9034,1.81598,1.0678,1.23319,0,0.000363239,0.000363239,0.000363239
81,1764.88,0.62586,1.28426,0.66867,1.00852,0,0.73258,0.63177,0.7056,0.52891,0.74447,0.63594,0.69382,0.49342,0.92772,1.8423,1.10157,1.24877,0,0.000346736,0.000346736,0.000346736
82,1776.91,0.60696,1.30502,0.66163,1.00711,0,0.70316,0.70011,0.74449,0.56204,0.69203,0.68558,0.72584,0.52568,0.92574,1.81971,0.99285,1.25017,0,0.000330233,0.000330233,0.000330233
83,1816.83,0.60414,1.24845,0.6624,1.00163,0,0.67576,0.70156,0.73864,0.55364,0.67646,0.69688,0.73267,0.52675,0.92677,1.83295,0.98191,1.26398,0,0.000313729,0.000313729,0.000313729
81,59.2379,0.62513,1.31065,0.70933,1.01145,0,0.67378,0.66091,0.70927,0.52796,0.69419,0.63607,0.6887,0.49355,0.92853,1.79843,1.06281,1.25152,0,0.000346736,0.000346736,0.000346736
84,1869.67,0.61008,1.30982,0.66784,1.0004,0,0.71603,0.67865,0.71415,0.53802,0.70877,0.66877,0.70631,0.50515,0.91607,1.82096,1.03808,1.25424,0,0.000297226,0.000297226,0.000297226
82,116.49,0.61079,1.32472,0.68516,1.018,0,0.66927,0.6974,0.73387,0.55816,0.67123,0.69854,0.72227,0.5212,0.88635,1.79956,0.98669,1.22034,0,0.000330233,0.000330233,0.000330233
85,1923.34,0.58892,1.19213,0.66475,0.99717,0,0.73942,0.66271,0.7104,0.53545,0.73956,0.66198,0.69753,0.505,0.9198,1.78977,1.06298,1.23704,0,0.000280723,0.000280723,0.000280723
83,171.53,0.61533,1.23642,0.65809,1.00627,0,0.71983,0.65885,0.72066,0.54998,0.72343,0.66146,0.7135,0.5139,0.88003,1.86215,1.03658,1.22062,0,0.000313729,0.000313729,0.000313729
84,230.633,0.58894,1.24081,0.67682,0.9986,0,0.75208,0.6283,0.71448,0.54039,0.70667,0.65443,0.69703,0.50983,0.88747,1.88654,1.08301,1.23163,0,0.000297226,0.000297226,0.000297226
85,324.205,0.62655,1.30566,0.6815,1.01044,0,0.70457,0.6401,0.68804,0.52484,0.69578,0.63229,0.67291,0.49609,0.89708,1.81256,1.16183,1.24234,0,0.000280723,0.000280723,0.000280723
