epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9479,1.30403,2.97018,2.32905,1.46877,0,0.26737,0.39375,0.24205,0.13109,0.23105,0.3125,0.17828,0.08114,1.52368,4.5566,5.82158,1.72426,0,0.00053979,0.00053979,0.00053979
2,22.218,1.29895,2.75898,2.09899,1.46039,0,0.57097,0.30152,0.22015,0.10715,0.48627,0.25573,0.14666,0.04635,1.78423,4.87936,4.18737,2.0684,0,0.00108461,0.00108461,0.00108461
3,31.9461,1.3214,2.75997,1.88679,1.43744,0,0.23979,0.25833,0.17012,0.08094,0.07864,0.16042,0.05598,0.02041,1.85066,11.7407,6.04683,2.17925,0,0.00161843,0.00161843,0.00161843
4,41.388,1.3164,2.72978,1.85281,1.44413,0,0.42882,0.40833,0.36303,0.18648,0.47618,0.30727,0.26965,0.11901,1.65844,6.06752,3.74598,1.95141,0,0.00161749,0.00161749,0.00161749
5,50.9428,1.36978,2.74219,1.79324,1.48586,0,0.3504,0.51719,0.34304,0.17614,0.287,0.48646,0.29584,0.1325,1.65321,5.67306,6.87318,1.87446,0,0.00160099,0.00160099,0.00160099
6,60.5558,1.26835,2.52894,1.68108,1.44371,0,0.3815,0.50469,0.3627,0.18679,0.33405,0.5125,0.33345,0.15439,1.56413,4.05597,3.29294,1.84452,0,0.00158448,0.00158448,0.00158448
7,70.1195,1.23578,2.5158,1.61113,1.41063,0,0.45839,0.50313,0.41988,0.24476,0.39012,0.43333,0.32485,0.15978,1.54029,3.92263,2.84268,1.77596,0,0.00156798,0.00156798,0.00156798
8,79.5119,1.24547,2.47247,1.67159,1.40023,0,0.49017,0.49427,0.43674,0.25607,0.48366,0.47656,0.41539,0.21423,1.53662,3.4663,2.43567,1.78823,0,0.00155148,0.00155148,0.00155148
9,89.0407,1.19789,2.42378,1.58221,1.38454,0,0.39488,0.45312,0.38323,0.23082,0.40222,0.44115,0.35378,0.18919,1.40141,3.20067,2.20168,1.61655,0,0.00153497,0.00153497,0.00153497
10,98.3599,1.1849,2.40363,1.57766,1.39202,0,0.45193,0.53438,0.44426,0.27335,0.39358,0.47932,0.37946,0.1847,1.37058,3.76784,3.01648,1.61309,0,0.00151847,0.00151847,0.00151847
11,107.671,1.10302,2.31321,1.53967,1.33376,0,0.45729,0.5224,0.4399,0.28541,0.42635,0.53333,0.42352,0.22924,1.27393,3.43604,2.48769,1.50413,0,0.00150197,0.00150197,0.00150197
12,117.062,1.11135,2.30435,1.45316,1.33333,0,0.52404,0.52452,0.50922,0.31178,0.49391,0.48535,0.45398,0.23595,1.33728,3.40543,1.67717,1.48678,0,0.00148546,0.00148546,0.00148546
13,126.367,1.1315,2.2893,1.45922,1.33999,0,0.59783,0.54854,0.56874,0.37335,0.65117,0.48261,0.52833,0.3066,1.25674,2.86521,1.63024,1.45395,0,0.00146896,0.00146896,0.00146896
14,135.701,1.10601,2.18077,1.40496,1.32116,0,0.52944,0.55156,0.49981,0.31654,0.58313,0.46254,0.4662,0.26823,1.31301,2.82705,2.00005,1.51058,0,0.00145246,0.00145246,0.00145246
15,144.943,1.10347,2.18629,1.43289,1.32707,0,0.53991,0.55781,0.48644,0.29876,0.50701,0.53542,0.43952,0.26384,1.422,2.9753,1.86669,1.62524,0,0.00143595,0.00143595,0.00143595
16,154.185,1.10114,2.22346,1.45049,1.33412,0,0.51304,0.52383,0.51701,0.33179,0.48241,0.48281,0.47362,0.26885,1.28377,2.94324,1.71455,1.51286,0,0.00141945,0.00141945,0.00141945
17,163.505,1.03189,2.07799,1.31269,1.28097,0,0.54776,0.53281,0.50819,0.31462,0.54479,0.52703,0.48157,0.25014,1.36233,2.89079,1.63439,1.596,0,0.00140295,0.00140295,0.00140295
18,172.62,1.01174,2.02151,1.3226,1.2735,0,0.558,0.5661,0.54576,0.35295,0.59083,0.51351,0.5217,0.31538,1.23423,2.66202,1.53547,1.46794,0,0.00138644,0.00138644,0.00138644
19,181.86,1.01433,2.04022,1.27741,1.26217,0,0.60451,0.52555,0.5575,0.37904,0.57324,0.50357,0.51187,0.31289,1.19179,2.72917,1.54153,1.41892,0,0.00136994,0.00136994,0.00136994
20,191.091,0.96024,1.93018,1.27509,1.23923,0,0.52989,0.64409,0.6034,0.40644,0.49632,0.61023,0.54156,0.33484,1.19723,2.79152,1.41531,1.43504,0,0.00135344,0.00135344,0.00135344
21,200.619,1.00759,2.06862,1.27477,1.25612,0,0.59938,0.54041,0.56231,0.36891,0.62098,0.50729,0.54159,0.31455,1.21335,2.91296,1.51019,1.45771,0,0.00133693,0.00133693,0.00133693
22,210.046,0.95813,2.05438,1.22876,1.22986,0,0.63018,0.575,0.57597,0.37788,0.58605,0.55625,0.52569,0.31403,1.19433,2.65554,1.58899,1.41995,0,0.00132043,0.00132043,0.00132043
23,219.307,0.93353,1.87978,1.2293,1.2277,0,0.64599,0.59383,0.61179,0.39299,0.61761,0.5689,0.57699,0.34558,1.22569,2.52675,1.41212,1.44335,0,0.00130393,0.00130393,0.00130393
24,228.663,0.9259,1.92319,1.22131,1.22044,0,0.61397,0.58594,0.59412,0.39052,0.60105,0.5509,0.56656,0.32994,1.16196,2.52439,1.43231,1.42141,0,0.00128742,0.00128742,0.00128742
25,238.592,0.94082,1.94547,1.22709,1.22476,0,0.66757,0.57344,0.62631,0.41159,0.67155,0.57013,0.61045,0.36549,1.13411,2.35928,1.4224,1.42305,0,0.00127092,0.00127092,0.00127092
26,247.87,0.91269,1.79093,1.13652,1.20227,0,0.64083,0.54041,0.57374,0.38675,0.64074,0.54351,0.55706,0.33652,1.16251,2.43546,1.40971,1.39514,0,0.00125442,0.00125442,0.00125442
